User nb,method,density,targets Size,time to select,selected
1,Highlight,30,6,1.1969234943389893,1
1,Highlight,30,6,1.9039647579193115,1
1,Highlight,30,6,1.3442847728729248,0
1,Highlight,30,6,0.8533909320831299,0
1,Highlight,30,6,0.44570016860961914,1
1,Highlight,30,6,1.6136436462402344,0
1,Highlight,30,6,1.4242010116577148,1
1,Highlight,30,6,1.7437121868133545,1
1,Highlight,30,12,1.4495625495910645,0
1,Highlight,30,12,0.48218822479248047,1
1,Highlight,30,12,0.8390476703643799,1
1,Highlight,30,12,0.9168741703033447,1
1,Highlight,30,12,1.1002988815307617,1
1,Highlight,30,12,1.1646637916564941,1
1,Highlight,30,18,1.1908519268035889,1
1,Highlight,30,18,1.768564224243164,1
1,Highlight,30,18,2.1691408157348633,1
1,Highlight,30,18,1.1566076278686523,1
1,Highlight,30,18,3.805467128753662,0
1,Highlight,30,18,4.358585834503174,0
1,Highlight,30,18,0.6519885063171387,0
1,Bubble,30,6,1.7573132514953613,1
1,Bubble,30,6,2.727949619293213,1
1,Bubble,30,6,1.0488150119781494,1
1,Bubble,30,6,1.2754104137420654,1
1,Bubble,30,6,1.239741563796997,1
1,Bubble,30,12,0.9109382629394531,1
1,Bubble,30,12,1.4401237964630127,1
1,Bubble,30,12,1.7837345600128174,0
1,Bubble,30,12,0.5103182792663574,1
1,Bubble,30,12,0.8085119724273682,1
1,Bubble,30,12,0.886929988861084,1
1,Bubble,30,18,1.0636053085327148,1
1,Bubble,30,18,10.843474864959717,0
1,Bubble,30,18,0.44104909896850586,0
1,Bubble,30,18,0.1821455955505371,1
1,Bubble,30,18,0.37508058547973633,0
1,Bubble,30,18,0.7321140766143799,1
1,Bubble,30,18,2.565948486328125,1
1,Bubble,30,18,1.3538856506347656,1
1,Rope,30,6,1.0848400592803955,1
1,Rope,30,6,1.2666771411895752,1
1,Rope,30,6,1.710547685623169,1
1,Rope,30,6,0.9420225620269775,1
1,Rope,30,6,1.039280652999878,1
1,Rope,30,12,1.082841157913208,1
1,Rope,30,12,0.9094455242156982,1
1,Rope,30,12,0.6319277286529541,1
1,Rope,30,12,1.2096681594848633,1
1,Rope,30,12,1.4122636318206787,1
1,Rope,30,18,1.0153439044952393,1
1,Rope,30,18,0.6441049575805664,1
1,Rope,30,18,0.6731371879577637,1
1,Rope,30,18,1.261509656906128,0
1,Rope,30,18,0.5006494522094727,1
1,Rope,30,18,0.8787276744842529,1
1,Highlight,60,6,1.5782239437103271,0
1,Highlight,60,6,0.5831880569458008,1
1,Highlight,60,6,1.9585132598876953,1
1,Highlight,60,6,1.5395472049713135,0
1,Highlight,60,6,0.5617654323577881,1
1,Highlight,60,6,0.20827746391296387,0
1,Highlight,60,6,0.8212642669677734,0
1,Highlight,60,6,0.41431593894958496,1
1,Highlight,60,6,2.788450002670288,1
1,Bubble,60,6,2.0149292945861816,1
1,Bubble,60,6,2.217803955078125,1
1,Bubble,60,6,0.6917757987976074,1
1,Bubble,60,6,1.8443102836608887,1
1,Bubble,60,6,0.9929163455963135,1
1,Rope,60,6,1.166323184967041,1
1,Rope,60,6,1.3389842510223389,1
1,Rope,60,6,0.5458576679229736,1
1,Rope,60,6,0.9322512149810791,0
1,Rope,60,6,0.5472366809844971,1
1,Rope,60,6,2.580193519592285,1
1,Highlight,60,12,0.8920090198516846,0
1,Highlight,60,12,0.35117244720458984,1
1,Highlight,60,12,1.0427722930908203,1
1,Highlight,60,12,0.891960859298706,1
1,Highlight,60,12,0.9197163581848145,1
1,Highlight,60,12,1.538532018661499,1
1,Bubble,60,12,1.0897810459136963,1
1,Bubble,60,12,0.7104015350341797,1
1,Bubble,60,12,0.7156786918640137,1
1,Bubble,60,12,2.181509017944336,1
1,Bubble,60,12,0.6417262554168701,1
1,Rope,60,12,0.8850572109222412,1
1,Rope,60,12,0.5428287982940674,1
1,Rope,60,12,1.004201889038086,1
1,Rope,60,12,0.49187469482421875,1
1,Rope,60,12,0.548041820526123,0
1,Rope,60,12,0.39186596870422363,1
1,Highlight,60,18,1.1094534397125244,1
1,Highlight,60,18,1.383218765258789,0
1,Highlight,60,18,0.7397677898406982,0
1,Highlight,60,18,0.45825767517089844,0
1,Highlight,60,18,0.38891172409057617,1
1,Highlight,60,18,1.406623125076294,1
1,Highlight,60,18,0.8466904163360596,1
1,Highlight,60,18,1.459266185760498,1
1,Bubble,60,18,0.9853758811950684,1
1,Bubble,60,18,0.5779876708984375,1
1,Bubble,60,18,0.8667435646057129,1
1,Bubble,60,18,1.0021452903747559,1
1,Bubble,60,18,0.7320842742919922,1
1,Rope,60,18,1.2734475135803223,1
1,Rope,60,18,1.0899693965911865,0
1,Rope,60,18,0.47029900550842285,1
1,Rope,60,18,0.5361473560333252,1
1,Rope,60,18,0.7370796203613281,1
1,Rope,60,18,1.056666612625122,1
1,Highlight,90,6,1.7400009632110596,0
1,Highlight,90,6,1.499204158782959,1
1,Highlight,90,6,1.4458229541778564,1
1,Highlight,90,6,1.928633689880371,0
1,Highlight,90,6,1.340073585510254,0
1,Highlight,90,6,0.4342172145843506,1
1,Highlight,90,6,2.3930139541625977,1
1,Highlight,90,6,1.8529808521270752,1
1,Highlight,90,12,1.37778639793396,0
1,Highlight,90,12,0.96390700340271,1
1,Highlight,90,12,1.4043326377868652,1
1,Highlight,90,12,0.9970591068267822,1
1,Highlight,90,12,1.3102002143859863,0
1,Highlight,90,12,0.3927919864654541,1
1,Highlight,90,12,1.141822099685669,1
1,Highlight,90,18,1.143465518951416,1
1,Highlight,90,18,0.986889123916626,1
1,Highlight,90,18,0.9482316970825195,1
1,Highlight,90,18,1.2369132041931152,0
1,Highlight,90,18,0.2972593307495117,0
1,Highlight,90,18,0.3697335720062256,1
1,Highlight,90,18,1.131676435470581,1
1,Bubble,90,6,1.057330846786499,1
1,Bubble,90,6,1.7541327476501465,1
1,Bubble,90,6,0.8755865097045898,1
1,Bubble,90,6,3.213294506072998,1
1,Bubble,90,6,1.494971513748169,1
1,Bubble,90,12,1.93280029296875,1
1,Bubble,90,12,0.773801326751709,1
1,Bubble,90,12,2.6730685234069824,1
1,Bubble,90,12,1.2877097129821777,1
1,Bubble,90,12,1.0473949909210205,1
1,Bubble,90,18,0.9676885604858398,1
1,Bubble,90,18,0.6069445610046387,1
1,Bubble,90,18,0.9964516162872314,1
1,Bubble,90,18,1.5037753582000732,1
1,Bubble,90,18,1.2115859985351562,1
1,Rope,90,6,4.2792322635650635,0
1,Rope,90,6,5.710066556930542,1
1,Rope,90,6,1.739039421081543,1
1,Rope,90,6,1.235541582107544,1
1,Rope,90,6,1.353606939315796,1
1,Rope,90,6,1.8352696895599365,1
1,Rope,90,12,1.1062521934509277,1
1,Rope,90,12,1.2980072498321533,1
1,Rope,90,12,1.534876823425293,0
1,Rope,90,12,0.3461334705352783,1
1,Rope,90,12,2.1579487323760986,1
1,Rope,90,12,1.9120793342590332,1
1,Rope,90,18,1.0905072689056396,1
1,Rope,90,18,0.8960223197937012,0
1,Rope,90,18,0.41347646713256836,1
1,Rope,90,18,1.4516370296478271,1
1,Rope,90,18,1.3936071395874023,1
1,Rope,90,18,1.0546221733093262,1
2,Highlight,30,6,1.7146530151367188,1
2,Highlight,30,6,2.0024731159210205,1
2,Highlight,30,6,1.2882657051086426,1
2,Highlight,30,6,1.364677906036377,1
2,Highlight,30,6,2.502256393432617,0
2,Highlight,30,6,0.4639155864715576,1
2,Highlight,30,12,1.1418266296386719,1
2,Highlight,30,12,1.2073974609375,1
2,Highlight,30,12,1.6225578784942627,0
2,Highlight,30,12,0.576512336730957,1
2,Highlight,30,12,0.8215181827545166,0
2,Highlight,30,12,1.0932188034057617,1
2,Highlight,30,12,3.173342227935791,0
2,Highlight,30,12,1.2273576259613037,1
2,Highlight,30,18,0.7174508571624756,0
2,Highlight,30,18,0.5604605674743652,1
2,Highlight,30,18,1.6711921691894531,0
2,Highlight,30,18,0.5167989730834961,1
2,Highlight,30,18,1.5727133750915527,1
2,Highlight,30,18,1.3274767398834229,0
2,Highlight,30,18,0.2603325843811035,1
2,Highlight,30,18,1.0298364162445068,1
2,Bubble,30,6,1.052452802658081,1
2,Bubble,30,6,1.526587724685669,1
2,Bubble,30,6,1.3686597347259521,0
2,Bubble,30,6,0.4231393337249756,1
2,Bubble,30,6,1.9572129249572754,1
2,Bubble,30,6,0.8599097728729248,1
2,Bubble,30,12,1.5855176448822021,1
2,Bubble,30,12,0.6930763721466064,1
2,Bubble,30,12,1.2146227359771729,1
2,Bubble,30,12,0.7289535999298096,1
2,Bubble,30,12,1.0649709701538086,1
2,Bubble,30,18,1.2568321228027344,1
2,Bubble,30,18,1.0257222652435303,1
2,Bubble,30,18,0.557145357131958,1
2,Bubble,30,18,0.6586227416992188,1
2,Bubble,30,18,0.850724458694458,1
2,Rope,30,6,2.32724666595459,1
2,Rope,30,6,1.1728160381317139,1
2,Rope,30,6,1.4848449230194092,1
2,Rope,30,6,1.4476475715637207,1
2,Rope,30,6,3.3792786598205566,1
2,Rope,30,12,0.9485461711883545,1
2,Rope,30,12,1.2888011932373047,0
2,Rope,30,12,0.2592191696166992,1
2,Rope,30,12,0.6242325305938721,1
2,Rope,30,12,0.6323962211608887,1
2,Rope,30,12,1.1516189575195312,1
2,Rope,30,18,0.9012765884399414,1
2,Rope,30,18,1.2559874057769775,1
2,Rope,30,18,0.5022549629211426,1
2,Rope,30,18,0.7111454010009766,1
2,Rope,30,18,1.1566035747528076,1
2,Highlight,60,6,2.386535406112671,1
2,Highlight,60,6,3.1947720050811768,0
2,Highlight,60,6,1.0557572841644287,1
2,Highlight,60,6,2.9851207733154297,1
2,Highlight,60,6,1.6922218799591064,1
2,Highlight,60,6,1.7497055530548096,0
2,Highlight,60,6,0.43894290924072266,0
2,Highlight,60,6,0.42819738388061523,1
2,Highlight,60,12,1.3655579090118408,1
2,Highlight,60,12,0.9581542015075684,1
2,Highlight,60,12,0.9727261066436768,1
2,Highlight,60,12,0.9276483058929443,1
2,Highlight,60,12,0.8142867088317871,1
2,Highlight,60,18,1.1959476470947266,1
2,Highlight,60,18,0.929816484451294,1
2,Highlight,60,18,1.2453625202178955,1
2,Highlight,60,18,0.7926111221313477,0
2,Highlight,60,18,1.3829607963562012,1
2,Highlight,60,18,0.8806633949279785,1
2,Bubble,60,6,1.1659901142120361,1
2,Bubble,60,6,2.1243796348571777,1
2,Bubble,60,6,2.6114633083343506,1
2,Bubble,60,6,1.5572028160095215,1
2,Bubble,60,6,2.0293655395507812,1
2,Bubble,60,12,0.996389627456665,1
2,Bubble,60,12,0.6270709037780762,1
2,Bubble,60,12,0.6572415828704834,1
2,Bubble,60,12,0.9128477573394775,1
2,Bubble,60,12,0.5761117935180664,1
2,Bubble,60,18,0.674717903137207,0
2,Bubble,60,18,0.3776130676269531,1
2,Bubble,60,18,0.927910327911377,0
2,Bubble,60,18,0.3143758773803711,1
2,Bubble,60,18,0.7892045974731445,1
2,Bubble,60,18,0.8847777843475342,1
2,Bubble,60,18,1.5288589000701904,0
2,Bubble,60,18,0.4821817874908447,1
2,Highlight,90,6,2.989333152770996,1
2,Highlight,90,6,1.5457661151885986,1
2,Highlight,90,6,1.3750197887420654,1
2,Highlight,90,6,1.9069430828094482,0
2,Highlight,90,6,1.0556864738464355,1
2,Highlight,90,6,1.337873935699463,1
2,Highlight,90,12,2.3879408836364746,0
2,Highlight,90,12,1.1110036373138428,1
2,Highlight,90,12,1.5508944988250732,1
2,Highlight,90,12,1.5988924503326416,1
2,Highlight,90,12,1.7049510478973389,1
2,Highlight,90,12,1.197782278060913,1
2,Highlight,90,18,1.1410081386566162,1
2,Highlight,90,18,1.1377191543579102,0
2,Highlight,90,18,0.33441829681396484,1
2,Highlight,90,18,1.7081732749938965,1
2,Highlight,90,18,1.377854585647583,1
2,Highlight,90,18,1.3664226531982422,1
2,Bubble,90,6,2.191077470779419,1
2,Bubble,90,6,1.0369236469268799,1
2,Bubble,90,6,1.5683581829071045,1
2,Bubble,90,6,2.680626630783081,1
2,Bubble,90,6,2.6392576694488525,0
2,Bubble,90,6,2.141517162322998,1
2,Bubble,90,12,0.7551612854003906,1
2,Bubble,90,12,1.4388327598571777,1
2,Bubble,90,12,0.6658935546875,1
2,Bubble,90,12,0.9898500442504883,1
2,Bubble,90,12,1.443251132965088,1
2,Bubble,90,18,1.2574958801269531,1
2,Bubble,90,18,0.8498592376708984,1
2,Bubble,90,18,0.9320285320281982,1
2,Bubble,90,18,0.9296431541442871,1
2,Bubble,90,18,1.0638279914855957,0
2,Bubble,90,18,0.5470736026763916,1
2,Rope,90,6,3.29658579826355,1
2,Rope,90,6,1.4038238525390625,1
2,Rope,90,6,1.711548089981079,1
2,Rope,90,6,2.588921546936035,1
2,Rope,90,6,0.5394389629364014,1
2,Rope,90,12,1.6763648986816406,1
2,Rope,90,12,1.1507835388183594,1
2,Rope,90,12,0.9148712158203125,1
2,Rope,90,12,1.1033406257629395,1
2,Rope,90,12,1.11594557762146,1
2,Rope,90,18,0.9028494358062744,1
2,Rope,90,18,0.9775063991546631,1
2,Rope,90,18,1.1627411842346191,0
2,Rope,90,18,0.6373417377471924,1
2,Rope,90,18,0.561145544052124,1
2,Rope,90,18,1.6442253589630127,0
2,Rope,90,18,0.3738415241241455,1
3,Highlight,30,6,1.1692943572998047,1
3,Highlight,30,6,1.2109203338623047,0
3,Highlight,30,6,0.5115911960601807,0
3,Highlight,30,6,1.1458466053009033,1
3,Highlight,30,6,1.2333590984344482,1
3,Highlight,30,6,1.5183804035186768,1
3,Highlight,30,6,2.595571279525757,1
3,Highlight,30,12,0.8914284706115723,1
3,Highlight,30,12,0.8244357109069824,1
3,Highlight,30,12,0.9066734313964844,1
3,Highlight,30,12,1.3124475479125977,0
3,Highlight,30,12,0.2620244026184082,1
3,Highlight,30,12,1.6111629009246826,1
3,Highlight,30,18,0.8114242553710938,1
3,Highlight,30,18,0.9913845062255859,1
3,Highlight,30,18,0.9525940418243408,1
3,Highlight,30,18,1.0047798156738281,1
3,Highlight,30,18,1.419607162475586,1
3,Bubble,30,6,1.325047254562378,1
3,Bubble,30,6,1.061446189880371,1
3,Bubble,30,6,1.874769926071167,1
3,Bubble,30,6,1.9510929584503174,1
3,Bubble,30,6,1.0519917011260986,1
3,Bubble,30,12,1.3860368728637695,1
3,Bubble,30,12,0.9613516330718994,1
3,Bubble,30,12,0.9523065090179443,1
3,Bubble,30,12,1.179403305053711,1
3,Bubble,30,12,0.7100338935852051,1
3,Bubble,30,18,1.1435799598693848,1
3,Bubble,30,18,0.6933774948120117,1
3,Bubble,30,18,0.6700577735900879,1
3,Bubble,30,18,0.47998881340026855,1
3,Bubble,30,18,0.9066321849822998,1
3,Rope,30,6,0.8871304988861084,0
3,Rope,30,6,0.5404901504516602,1
3,Rope,30,6,1.2272403240203857,1
3,Rope,30,6,1.2313957214355469,0
3,Rope,30,6,0.2895491123199463,1
3,Rope,30,6,0.8146567344665527,1
3,Rope,30,6,2.290186882019043,1
3,Rope,30,12,1.229257583618164,1
3,Rope,30,12,0.9989018440246582,1
3,Rope,30,12,1.648183822631836,1
3,Rope,30,12,1.1984660625457764,1
3,Rope,30,12,1.2565436363220215,1
3,Rope,30,18,0.7200658321380615,1
3,Rope,30,18,0.7546994686126709,0
3,Rope,30,18,0.316342830657959,1
3,Rope,30,18,0.7640640735626221,1
3,Rope,30,18,0.7810361385345459,1
3,Rope,30,18,0.5472981929779053,1
3,Highlight,60,6,1.1153209209442139,1
3,Highlight,60,6,2.0962817668914795,1
3,Highlight,60,6,2.2144503593444824,0
3,Highlight,60,6,1.6353240013122559,1
3,Highlight,60,6,2.5161960124969482,1
3,Highlight,60,6,2.3710639476776123,0
3,Highlight,60,6,1.148228645324707,1
3,Highlight,60,12,0.859262228012085,1
3,Highlight,60,12,0.8187453746795654,1
3,Highlight,60,12,0.8577244281768799,1
3,Highlight,60,12,0.705385684967041,1
3,Highlight,60,12,0.7562613487243652,1
3,Highlight,60,18,2.429208517074585,1
3,Highlight,60,18,2.880448579788208,1
3,Highlight,60,18,0.9184246063232422,1
3,Highlight,60,18,1.0301504135131836,0
3,Highlight,60,18,0.36106085777282715,1
3,Highlight,60,18,0.9554622173309326,1
3,Bubble,60,6,1.3483312129974365,1
3,Bubble,60,6,0.9031727313995361,1
3,Bubble,60,6,1.9377758502960205,1
3,Bubble,60,6,0.6314749717712402,1
3,Bubble,60,6,1.664672613143921,0
3,Bubble,60,6,0.5618040561676025,1
3,Bubble,60,12,1.1949882507324219,1
3,Bubble,60,12,0.7251272201538086,1
3,Bubble,60,12,0.7391011714935303,1
3,Bubble,60,12,0.6008028984069824,0
3,Bubble,60,12,0.8189966678619385,1
3,Bubble,60,12,1.2364568710327148,1
3,Bubble,60,18,1.3806955814361572,1
3,Bubble,60,18,0.8937413692474365,1
3,Bubble,60,18,0.9211759567260742,1
3,Bubble,60,18,0.8047761917114258,1
3,Bubble,60,18,1.2566184997558594,0
3,Bubble,60,18,0.4181051254272461,1
3,Rope,60,6,1.3492584228515625,1
3,Rope,60,6,0.7487258911132812,1
3,Rope,60,6,0.6462497711181641,0
3,Rope,60,6,0.3280189037322998,1
3,Rope,60,6,1.9048607349395752,1
3,Rope,60,6,1.8325324058532715,1
3,Rope,60,12,0.7280795574188232,1
3,Rope,60,12,0.47185707092285156,1
3,Rope,60,12,1.7742879390716553,1
3,Rope,60,12,0.43868589401245117,1
3,Rope,60,12,0.6420106887817383,0
3,Rope,60,12,0.3324859142303467,1
3,Rope,60,18,1.3324227333068848,1
3,Rope,60,18,0.5384688377380371,0
3,Rope,60,18,0.5969791412353516,1
3,Rope,60,18,0.8443243503570557,0
3,Rope,60,18,0.23390650749206543,1
3,Rope,60,18,0.5856387615203857,1
3,Rope,60,18,0.8090839385986328,1
3,Highlight,90,6,3.842979669570923,0
3,Highlight,90,6,0.6873111724853516,1
3,Highlight,90,6,1.8592236042022705,0
3,Highlight,90,6,1.1133787631988525,1
3,Highlight,90,6,2.076888084411621,1
3,Highlight,90,6,2.0026309490203857,1
3,Highlight,90,6,2.2823729515075684,0
3,Highlight,90,6,0.3466925621032715,1
3,Highlight,90,12,1.0537426471710205,1
3,Highlight,90,12,1.7388415336608887,0
3,Highlight,90,12,0.6185712814331055,0
3,Highlight,90,12,0.3956878185272217,0
3,Highlight,90,12,0.46291041374206543,1
3,Highlight,90,12,1.8347384929656982,1
3,Highlight,90,12,2.2251408100128174,1
3,Highlight,90,12,1.508664608001709,1
3,Highlight,90,18,1.046687126159668,1
3,Highlight,90,18,1.273758888244629,1
3,Highlight,90,18,1.2656323909759521,1
3,Highlight,90,18,0.8852334022521973,1
3,Highlight,90,18,1.6834051609039307,1
3,Bubble,90,6,4.603039503097534,0
3,Bubble,90,6,0.7918164730072021,1
3,Bubble,90,6,1.6320505142211914,1
3,Bubble,90,6,0.9645788669586182,1
3,Bubble,90,6,1.6409742832183838,1
3,Bubble,90,6,3.9151763916015625,1
3,Bubble,90,12,1.483760118484497,1
3,Bubble,90,12,1.4242737293243408,0
3,Bubble,90,12,0.3427619934082031,1
3,Bubble,90,12,0.7288744449615479,1
3,Bubble,90,12,1.719818353652954,1
3,Bubble,90,12,1.3758654594421387,1
3,Bubble,90,18,2.1567797660827637,1
3,Bubble,90,18,0.8545491695404053,1
3,Bubble,90,18,1.48624587059021,1
3,Bubble,90,18,0.8747053146362305,1
3,Bubble,90,18,1.089735984802246,0
3,Bubble,90,18,0.36672306060791016,1
3,Rope,90,6,0.7523407936096191,1
3,Rope,90,6,0.5517978668212891,1
3,Rope,90,6,0.9275732040405273,1
3,Rope,90,6,1.628446102142334,1
3,Rope,90,6,2.8343799114227295,0
3,Rope,90,6,0.6637976169586182,1
3,Rope,90,12,1.7452046871185303,1
3,Rope,90,12,0.9745023250579834,1
3,Rope,90,12,1.2157008647918701,1
3,Rope,90,12,2.7856454849243164,0
3,Rope,90,12,0.3525254726409912,1
3,Rope,90,12,1.1653761863708496,1
3,Rope,90,18,1.4559013843536377,0
3,Rope,90,18,0.3639492988586426,1
3,Rope,90,18,0.7973525524139404,1
3,Rope,90,18,0.9235875606536865,1
3,Rope,90,18,1.4987432956695557,1
3,Rope,90,18,1.2727735042572021,1
1,Bubble,60,18,6.752393960952759,1
1,Bubble,60,18,2.826568365097046,1
1,Bubble,60,18,1.8968944549560547,1
1,Bubble,60,18,3.5127217769622803,1
1,Bubble,60,18,1.915187120437622,1
1,Rope,60,18,35.10540246963501,1
1,Rope,60,18,1.31180739402771,1
1,Rope,60,18,4.173426151275635,0
1,Rope,60,18,0.5241270065307617,0
1,Rope,60,18,0.6637935638427734,0
1,Rope,60,18,3.606335401535034,1
1,Rope,60,18,0.9404692649841309,1
1,Rope,60,18,1.63956880569458,1
